G7331,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G7331,----,6:15,0:00,当日到达,0分钟,
2,临平南,G7331,6:55,6:57,0:40,当日到达,2分钟,
3,杭州东,G7331,7:07,7:14,0:52,当日到达,7分钟,
4,诸暨,G7331,7:37,7:39,1:22,当日到达,2分钟,
5,义乌,G7331,7:53,7:55,1:38,当日到达,2分钟,
6,金华南,G7331,8:14,8:16,1:59,当日到达,2分钟,
7,永康南,G7331,8:34,8:36,2:19,当日到达,2分钟,
8,温州南,G7331,9:28,9:33,3:13,当日到达,5分钟,
9,瑞安,G7331,9:45,9:45,3:30,当日到达,0分钟,
,,,,,,,,
G2981,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,贵阳北,G2981,----,7:03,0:00,当日到达,0分钟,
2,安顺西,G2981,7:32,7:35,0:29,当日到达,3分钟,
3,普安县,G2981,8:08,8:10,1:05,当日到达,2分钟,
4,盘州,G2981,8:25,8:28,1:22,当日到达,3分钟,
5,富源北,G2981,8:51,8:53,1:48,当日到达,2分钟,
6,曲靖北,G2981,9:10,9:13,2:07,当日到达,3分钟,
7,嵩明,G2981,9:35,9:37,2:32,当日到达,2分钟,
8,昆明南,G2981,9:57,9:57,2:54,当日到达,0分钟,
,,,,,,,,
G2969,,,,,,,,
1,贵阳北,G2969,----,7:36,0:00,当日到达,0分钟,
2,平坝南,G2969,7:55,7:57,0:19,当日到达,2分钟,
3,安顺西,G2969,8:12,8:14,0:36,当日到达,2分钟,
4,盘州,G2969,8:57,8:59,1:21,当日到达,2分钟,
5,富源北,G2969,9:22,9:24,1:46,当日到达,2分钟,
6,曲靖北,G2969,9:41,9:43,2:05,当日到达,2分钟,
7,昆明南,G2969,10:20,10:20,2:44,当日到达,0分钟,
,,,,,,,,
G2125,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,长沙南,G2125,----,7:44,0:00,当日到达,0分钟,
2,韶山南,G2125,8:07,8:09,0:23,当日到达,2分钟,
3,娄底南,G2125,8:26,8:28,0:42,当日到达,2分钟,
4,邵东,G2125,8:56,8:58,1:12,当日到达,2分钟,
5,邵阳,G2128,9:19,9:22,1:35,当日到达,3分钟,
6,隆回,G2128,9:42,9:44,1:58,当日到达,2分钟,
7,洞口,G2128,10:02,10:04,2:18,当日到达,2分钟,
8,安江东,G2128,10:25,10:27,2:41,当日到达,2分钟,
9,怀化南,G2125,10:41,10:45,2:57,当日到达,4分钟,
10,贵阳北,G2125,12:21,12:26,4:37,当日到达,5分钟,
11,安顺西,G2125,12:56,12:58,5:12,当日到达,2分钟,
12,曲靖北,G2125,14:11,14:13,6:27,当日到达,2分钟,
13,昆明南,G2125,14:50,14:50,7:06,当日到达,0分钟,
,,,,,,,,
G1511,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,南昌西,G1511,----,8:25,0:00,当日到达,0分钟,
2,新余北,G1511,8:57,8:59,0:32,当日到达,2分钟,
3,宜春,G1511,9:14,9:16,0:49,当日到达,2分钟,
4,萍乡北,G1511,9:34,9:36,1:09,当日到达,2分钟,
5,长沙南,G1511,10:06,10:11,1:41,当日到达,5分钟,
6,娄底南,G1511,10:46,10:48,2:21,当日到达,2分钟,
7,怀化南,G1511,11:40,11:43,3:15,当日到达,3分钟,
8,凯里南,G1511,12:44,12:46,4:19,当日到达,2分钟,
9,贵阳北,G1511,13:27,13:34,5:02,当日到达,7分钟,
10,富源北,G1511,14:58,15:00,6:33,当日到达,2分钟,
11,昆明南,G1511,15:49,15:49,7:24,当日到达,0分钟,
,,,,,,,,
G1429,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,南昌西,G1429,----,9:48,0:00,当日到达,0分钟,
2,宜春,G1429,10:30,10:32,0:42,当日到达,2分钟,
3,萍乡北,G1429,10:50,10:52,1:02,当日到达,2分钟,
4,长沙南,G1429,11:22,11:22,1:34,当日到达,0分钟,
,,,,,,,,
G2185,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,杭州东,G2185,----,7:15,0:00,当日到达,0分钟,
2,千岛湖,G2185,8:05,8:07,0:50,当日到达,2分钟,
3,黄山北,G2185,8:45,8:48,1:30,当日到达,3分钟,
4,上饶,G2185,9:28,9:47,2:13,当日到达,19分钟,
5,南昌西,G2185,10:47,10:50,3:32,当日到达,3分钟,
6,宜春,G2185,11:33,11:35,4:18,当日到达,2分钟,
7,萍乡北,G2185,11:53,11:58,4:38,当日到达,5分钟,
8,长沙南,G2185,12:28,12:31,5:13,当日到达,3分钟,
9,韶山南,G2185,12:54,12:56,5:39,当日到达,2分钟,
10,娄底南,G2185,13:13,13:15,5:58,当日到达,2分钟,
11,新化南,G2185,13:39,13:41,6:24,当日到达,2分钟,
12,怀化南,G2185,14:14,14:17,6:59,当日到达,3分钟,
13,三穗,G2185,14:55,14:57,7:40,当日到达,2分钟,
14,凯里南,G2185,15:23,15:26,8:08,当日到达,3分钟,
15,贵阳东,G2188,16:03,16:09,8:48,当日到达,6分钟,
16,宜宾西,G2188,17:51,18:01,10:36,当日到达,10分钟,
17,乐山,G2188,18:40,18:42,11:25,当日到达,2分钟,
18,青神,G2188,18:54,18:56,11:39,当日到达,2分钟,
19,眉山东,G2188,19:07,19:09,11:52,当日到达,2分钟,
20,成都东,G2188,19:41,19:41,12:26,当日到达,0分钟,
,,,,,,,,
G1383,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G1383,----,6:42,0:00,当日到达,0分钟,
2,嘉兴南,G1383,7:09,7:11,0:27,当日到达,2分钟,
3,海宁西,G1383,7:26,7:28,0:44,当日到达,2分钟,
4,杭州东,G1383,7:41,7:44,0:59,当日到达,3分钟,
5,义乌,G1383,8:16,8:18,1:34,当日到达,2分钟,
6,金华,G1383,8:34,8:36,1:52,当日到达,2分钟,
7,龙游,G1383,8:51,8:56,2:09,当日到达,5分钟,
8,上饶,G1383,9:29,9:31,2:47,当日到达,2分钟,
9,鹰潭北,G1383,9:57,9:59,3:15,当日到达,2分钟,
10,进贤南,G1383,10:21,10:23,3:39,当日到达,2分钟,
11,南昌西,G1383,10:42,11:07,4:00,当日到达,25分钟,
12,丰城东,G1383,11:34,11:36,4:52,当日到达,2分钟,
13,峡江,G1383,11:57,12:03,5:15,当日到达,6分钟,
14,吉安西,G1383,12:21,12:23,5:39,当日到达,2分钟,
15,兴国西,G1383,12:54,13:01,6:12,当日到达,7分钟,
16,赣州西,G1383,13:21,13:21,6:39,当日到达,0分钟,
,,,,,,,,
G1371,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G1371,----,7:22,0:00,当日到达,0分钟,
2,嘉兴南,G1371,7:49,7:51,0:27,当日到达,2分钟,
3,桐乡,G1371,8:02,8:04,0:40,当日到达,2分钟,
4,杭州东,G1371,8:21,8:25,0:59,当日到达,4分钟,
5,义乌,G1371,8:57,8:59,1:35,当日到达,2分钟,
6,金华,G1371,9:15,9:18,1:53,当日到达,3分钟,
7,衢州,G1371,9:39,9:46,2:17,当日到达,7分钟,
8,上饶,G1371,10:13,10:15,2:51,当日到达,2分钟,
9,鹰潭北,G1371,10:41,10:43,3:19,当日到达,2分钟,
10,南昌西,G1371,11:18,11:21,3:56,当日到达,3分钟,
11,萍乡北,G1371,12:17,12:19,4:55,当日到达,2分钟,
12,长沙南,G1371,12:49,12:55,5:27,当日到达,6分钟,
13,湘潭北,G1371,13:09,13:11,5:47,当日到达,2分钟,
14,娄底南,G1371,13:37,13:39,6:15,当日到达,2分钟,
15,新化南,G1371,14:03,14:05,6:41,当日到达,2分钟,
16,怀化南,G1371,14:38,14:41,7:16,当日到达,3分钟,
17,铜仁南,G1371,15:09,15:11,7:47,当日到达,2分钟,
18,凯里南,G1371,15:47,15:49,8:25,当日到达,2分钟,
19,贵阳北,G1371,16:30,16:34,9:08,当日到达,4分钟,
20,安顺西,G1371,17:04,17:06,9:42,当日到达,2分钟,
21,普安县,G1371,17:39,17:41,10:17,当日到达,2分钟,
22,盘州,G1371,17:56,18:01,10:34,当日到达,5分钟,
23,曲靖北,G1371,18:40,18:42,11:18,当日到达,2分钟,
24,昆明南,G1371,19:19,19:19,11:57,当日到达,0分钟,
,,,,,,,,
G2189,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G2189,----,7:28,0:00,当日到达,0分钟,
2,金山北,G2189,7:46,7:48,0:18,当日到达,2分钟,
3,嘉兴南,G2189,8:02,8:04,0:34,当日到达,2分钟,
4,杭州东,G2189,8:27,8:32,0:59,当日到达,5分钟,
5,义乌,G2189,9:06,9:09,1:38,当日到达,3分钟,
6,金华,G2189,9:25,9:30,1:57,当日到达,5分钟,
7,衢州,G2189,9:51,9:53,2:23,当日到达,2分钟,
8,上饶,G2189,10:23,10:25,2:55,当日到达,2分钟,
9,鹰潭北,G2189,10:51,10:53,3:23,当日到达,2分钟,
10,南昌西,G2189,11:28,11:33,4:00,当日到达,5分钟,
11,宜春,G2189,12:15,12:17,4:47,当日到达,2分钟,
12,萍乡北,G2189,12:37,12:39,5:09,当日到达,2分钟,
13,长沙南,G2189,13:11,13:17,5:43,当日到达,6分钟,
14,娄底南,G2189,13:52,13:54,6:24,当日到达,2分钟,
15,怀化南,G2189,14:46,14:49,7:18,当日到达,3分钟,
16,新晃西,G2189,15:13,15:19,7:45,当日到达,6分钟,
17,凯里南,G2189,16:06,16:08,8:38,当日到达,2分钟,
18,贵阳东,G2192,16:40,16:48,9:10,当日到达,8分钟,
,,,,,,,,
G1373,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,上海虹桥,G1373,----,8:53,0:00,当日到达,0分钟,
2,杭州东,G1373,9:41,9:46,0:48,当日到达,5分钟,
3,金华,G1373,10:29,10:31,1:36,当日到达,2分钟,
4,南昌西,G1373,12:12,12:17,3:19,当日到达,5分钟,
5,新余北,G1373,12:51,12:53,3:58,当日到达,2分钟,
6,长沙南,G1373,13:50,13:54,4:57,当日到达,4分钟,
7,娄底南,G1373,14:29,14:31,5:36,当日到达,2分钟,
8,怀化南,G1373,15:23,15:27,6:30,当日到达,4分钟,
9,凯里南,G1373,16:27,16:29,7:34,当日到达,2分钟,
10,贵阳北,G1373,17:09,17:16,8:16,当日到达,7分钟,
11,安顺西,G1373,17:46,17:48,8:53,当日到达,2分钟,
12,富源北,G1373,18:49,18:51,9:56,当日到达,2分钟,
13,曲靖北,G1373,19:08,19:10,10:15,当日到达,2分钟,
14,昆明南,G1373,19:47,19:47,10:54,当日到达,0分钟,
,,,,,,,,
G1537,,,,,,,,
站序,站名,车次,到达时间,发车时间,耗时,是否当日,停靠时间,
1,郑州东,G1537,----,10:37,0:00,当日到达,0分钟,
2,漯河西,G1537,11:10,11:13,0:33,当日到达,3分钟,
3,驻马店西,G1537,11:31,11:33,0:54,当日到达,2分钟,
4,信阳东,G1537,11:58,12:00,1:21,当日到达,2分钟,
