id,from,to,批数
1,上海,嘉兴,6
2,上海,桐乡,7
3,上海,杭州,14
4,上海,诸暨,5
5,上海,义乌,4
6,上海,金华,3
7,上海,衢州,6
8,上海,上饶,3
9,上海,鹰潭,4
10,上海,南昌,11
11,上海,高安,2
12,上海,新余,3
13,上海,萍乡,5
14,上海,长沙,10
15,上海,湘潭,4
16,上海,娄底,6
17,上海,溆浦,5
18,上海,怀化,5
19,上海,凯里,6
20,上海,贵阳,11
21,上海,安顺,5
22,上海,曲靖,5
23,上海,昆明,8
24,嘉兴,桐乡,3
25,嘉兴,杭州,7
26,嘉兴,诸暨,1
27,嘉兴,义乌,5
28,嘉兴,金华,3
29,嘉兴,衢州,1
30,嘉兴,上饶,1
31,嘉兴,鹰潭,1
32,嘉兴,南昌,5
33,嘉兴,高安,4
34,嘉兴,新余,2
35,嘉兴,萍乡,3
36,嘉兴,长沙,7
37,嘉兴,湘潭,1
38,嘉兴,娄底,2
39,嘉兴,溆浦,1
40,嘉兴,怀化,2
41,嘉兴,凯里,1
42,嘉兴,贵阳,6
43,嘉兴,安顺,1
44,嘉兴,曲靖,2
45,嘉兴,昆明,5
46,桐乡,杭州,1
47,桐乡,诸暨,1
48,桐乡,义乌,3
49,桐乡,金华,2
50,桐乡,衢州,1
51,桐乡,上饶,1
52,桐乡,鹰潭,1
53,桐乡,南昌,3
54,桐乡,高安,1
55,桐乡,新余,1
56,桐乡,萍乡,1
57,桐乡,长沙,3
58,桐乡,湘潭,1
59,桐乡,娄底,2
60,桐乡,怀化,2
61,桐乡,凯里,1
62,桐乡,贵阳,5
63,桐乡,安顺,1
64,桐乡,曲靖,2
65,桐乡,昆明,5
66,杭州,诸暨,2
67,杭州,义乌,7
68,杭州,金华,2
69,杭州,衢州,1
70,杭州,上饶,1
71,杭州,鹰潭,3
72,杭州,南昌,13
73,杭州,高安,3
74,杭州,新余,2
75,杭州,萍乡,1
76,杭州,长沙,7
77,杭州,湘潭,3
78,杭州,娄底,3
79,杭州,溆浦,1
80,杭州,怀化,1
81,杭州,凯里,1
82,杭州,贵阳,9
83,杭州,安顺,3
84,杭州,曲靖,3
85,杭州,昆明,9
86,诸暨,义乌,3
87,诸暨,金华,1
88,诸暨,衢州,2
89,诸暨,上饶,23
90,诸暨,鹰潭,3
91,诸暨,南昌,5
92,诸暨,高安,1
93,诸暨,新余,1
94,诸暨,萍乡,2
95,诸暨,长沙,7
96,诸暨,湘潭,2
97,诸暨,娄底,2
98,诸暨,怀化,1
99,诸暨,凯里,1
100,诸暨,贵阳,5
101,诸暨,安顺,1
102,诸暨,曲靖,3
103,诸暨,昆明,7
104,义乌,金华,1
105,义乌,衢州,4
106,义乌,上饶,4
107,义乌,鹰潭,3
108,义乌,南昌,15
109,义乌,高安,2
110,义乌,新余,3
111,义乌,萍乡,3
112,义乌,湘潭,3
113,义乌,娄底,3
114,义乌,溆浦,2
115,义乌,怀化,4
116,义乌,凯里,3
117,义乌,贵阳,11
118,义乌,安顺,3
119,义乌,曲靖,2
120,义乌,昆明,11
121,金华,衢州,1
122,金华,上饶,2
123,金华,鹰潭,1
124,金华,南昌,5
125,金华,高安,1
126,金华,新余,2
127,金华,湘潭,1
128,金华,娄底,1
129,金华,怀化,2
130,金华,凯里,1
131,金华,贵阳,5
132,金华,安顺,1
133,金华,曲靖,2
134,金华,昆明,3
135,衢州,上饶,1
136,衢州,鹰潭,1
137,衢州,南昌,5
138,衢州,高安,1
139,衢州,新余,1
140,衢州,萍乡,1
141,衢州,长沙,5
142,衢州,湘潭,3
143,衢州,娄底,3
144,衢州,溆浦,1
145,衢州,怀化,3
146,衢州,凯里,1
147,衢州,贵阳,5
148,衢州,安顺,1
149,衢州,曲靖,2
150,衢州,昆明,3
151,上饶,鹰潭,2
152,上饶,鹰潭,4
153,上饶,高安,1
154,上饶,新余,1
155,上饶,萍乡,2
156,上饶,长沙,5
157,上饶,湘潭,3
158,上饶,娄底,3
159,上饶,溆浦,1
160,上饶,怀化,2
161,上饶,凯里,1
162,上饶,贵阳,3
163,上饶,安顺,1
164,上饶,曲靖,2
165,上饶,昆明,5
166,鹰潭,南昌,1
167,鹰潭,高安,1
168,鹰潭,新余,1
169,鹰潭,长沙,7
170,鹰潭,湘潭,1
171,鹰潭,溆浦,1
172,鹰潭,怀化,3
173,鹰潭,凯里,3
174,鹰潭,贵阳,5
175,鹰潭,安顺,1
176,鹰潭,曲靖,2
177,鹰潭,昆明,1
178,南昌,高安,4
179,南昌,新余,5
180,南昌,萍乡,5
181,南昌,醴陵,4
182,南昌,长沙,11
183,南昌,湘潭,5
184,南昌,娄底,1
185,南昌,溆浦,3
186,南昌,怀化,7
187,南昌,凯里,5
188,南昌,安顺,3
189,南昌,曲靖,2
190,南昌,昆明,11
191,高安,新余,1
192,高安,醴陵,1
193,高安,长沙,4
194,高安,湘潭,3
195,高安,娄底,3
196,高安,溆浦,1
197,高安,怀化,3
198,高安,凯里,1
199,高安,贵阳,5
200,高安,安顺,1
201,高安,曲靖,2
202,高安,昆明,3
203,新余,萍乡,2
204,新余,醴陵,1
205,新余,长沙,5
206,新余,湘潭,3
207,新余,娄底,3
208,新余,溆浦,1
209,新余,怀化,2
210,新余,凯里,1
211,新余,贵阳,3
212,新余,安顺,1
213,新余,曲靖,2
214,新余,昆明,5
215,萍乡,长沙,5
216,萍乡,湘潭,3
217,萍乡,娄底,4
218,萍乡,怀化,4
219,萍乡,凯里,1
220,萍乡,贵阳,5
221,萍乡,安顺,1
222,萍乡,曲靖,2
223,萍乡,昆明,3
224,醴陵,长沙,5
225,醴陵,湘潭,2
226,醴陵,娄底,3
227,醴陵,溆浦,1
228,醴陵,怀化,2
229,醴陵,凯里,1
230,醴陵,贵阳,3
231,醴陵,安顺,1
232,醴陵,曲靖,2
233,醴陵,昆明,6
234,长沙,湘潭,7
235,长沙,溆浦,5
236,长沙,怀化,5
237,长沙,凯里,3
238,长沙,安顺,2
239,长沙,曲靖,3
240,长沙,昆明,11
241,湘潭,娄底,3
242,湘潭,溆浦,2
243,湘潭,怀化,4
244,湘潭,凯里,3
245,湘潭,贵阳,11
246,湘潭,安顺,3
247,湘潭,曲靖,2
248,湘潭,昆明,13
249,娄底,怀化,2
250,娄底,凯里,1
251,娄底,贵阳,5
252,娄底,安顺,1
253,娄底,曲靖,2
254,娄底,昆明,3
255,溆浦,怀化,1
256,溆浦,贵阳,11
257,溆浦,曲靖,2
258,溆浦,昆明,14
259,怀化,凯里,1
260,怀化,贵阳,5
261,怀化,安顺,1
262,怀化,曲靖,2
263,怀化,昆明,3
264,凯里,贵阳,3
265,凯里,安顺,1
266,凯里,曲靖,1
267,凯里,昆明,4
268,贵阳,安顺,5
269,贵阳,曲靖,7
270,贵阳,昆明,14
271,安顺,曲靖,5
272,安顺,昆明,5
273,曲靖,昆明,7
